doi,name,description,keywords,license,temporalCoverage,spatialCoverage,supplement_to,license_name,topic
doi:10.1594/PANGAEA.975014,True,True,True,True,False,True,False,Creative Commons Attribution 4.0 International,Agriculture
doi:10.1594/PANGAEA.983206,True,True,True,True,True,True,False,Creative Commons Attribution 4.0 International,Agriculture
doi:10.1594/PANGAEA.958960,True,False,True,True,True,True,False,Creative Commons Attribution 4.0 International,Agriculture
doi:10.1594/PANGAEA.964635,True,True,True,True,True,True,False,Creative Commons Attribution 4.0 International,Agriculture
doi:10.1594/PANGAEA.788544,True,False,False,True,False,True,False,Licensing unknown: Please contact principal investigator/authors to gain access and request licensing terms,Agriculture
doi:10.1594/PANGAEA.788545,True,False,False,True,False,True,False,Licensing unknown: Please contact principal investigator/authors to gain access and request licensing terms,Agriculture
doi:10.1594/PANGAEA.867308,True,False,False,True,False,True,False,Creative Commons Attribution 3.0 Unported,Agriculture
doi:10.1594/PANGAEA.787167,True,False,False,True,False,True,False,Creative Commons Attribution 3.0 Unported,Agriculture
doi:10.1594/PANGAEA.943160,True,True,True,True,True,True,False,Creative Commons Attribution 4.0 International,Agriculture
doi:10.1594/PANGAEA.882209,True,False,False,True,False,True,False,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported,Agriculture
doi:10.1594/PANGAEA.880852,True,False,False,True,True,True,False,Baseline Surface Radiation Network License 1.0,Atmosphere
doi:10.1594/PANGAEA.722060,True,False,False,True,True,True,False,Baseline Surface Radiation Network License 1.0,Atmosphere
doi:10.1594/PANGAEA.779173,True,False,False,True,True,True,False,Baseline Surface Radiation Network License 1.0,Atmosphere
doi:10.1594/PANGAEA.672834,True,False,False,True,True,True,False,Baseline Surface Radiation Network License 1.0,Atmosphere
doi:10.1594/PANGAEA.887597,True,False,False,True,True,True,False,Baseline Surface Radiation Network License 1.0,Atmosphere
doi:10.1594/PANGAEA.958573,True,False,False,True,True,True,False,Baseline Surface Radiation Network License 1.0,Atmosphere
