Type,Species,Reg spec no,URL ref,Treat,Time h,Stage,Perc,Perc std dev,Status,Perc_2,Perc std dev_2,l,l std dev,h,h std dev,Temp,Temp std dev,pH NBS,pH std dev,AT,AT std dev,Sal,Sal std dev,DIC,DIC std dev,CO2,CO2 std dev,[HCO3]-,[HCO3]- std dev,[CO3]2-,[CO3]2- std dev,Ca2+,Omega Cal,Omega Arg,CSC flag,pHT,CO2_2,fCO2water_SST_wet,pCO2water_SST_wet,[HCO3]-_2,[CO3]2-_2,DIC_2,Omega Arg_2,Omega Cal_2,Event,Latitude,Longitude,Date/Time
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,2,1-cell,5.4,4.774934555,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,2,2-cell,68.4,18.76965636,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,2,4-cell,24.6,18.74299869,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,2,Morula,1.6,2.607680962,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,2,Gastrula,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,2,Trochophore,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,2,D-larva,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,2,Abnormal,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,2,1-cell,8.043631021,10.8,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,2,2-cell,19.27952282,75.2,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,2,4-cell,18.98157001,13.6,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,2,Morula,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,2,Gastrula,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,2,Trochophore,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,2,D-larva,0.0,0.0,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,High CO2,2,Abnormal,0.894427191,0.4,,,,,,,,13,0.2,7.42,0.03,1942,26,35.5,0.67,1971,24,83.3,1.1,1873,25,26.8,0.3,12,0.75,0.49,26,7.31,83.22,2094.66,2102.47,1873.09,26.69,1983.0,0.41,0.63,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,4,1-cell,2.2,4.38178046,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,4,2-cell,0.0,0.0,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
laboratory,Mytilus galloprovincialis (mollusk),151896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151896,Control,4,4-cell,53.6,27.7001805,,,,,,,,13,0.2,8.13,0.03,1956,21,35.5,0.67,1757,7,14.3,0.2,1645,22,120.0,1.7,12,3.37,2.23,26,8.02,14.25,358.78,360.11,1645.58,120.26,1780.1,1.83,2.86,Nagasaki_University,32.8095,129.7708,
